county_fips,industry_code,year,bls_annual_establishments,bls_annual_employment,bls_total_annual_wages
48323,1026,2021,90,1500,29105019
48325,1026,2021,83,990,18265305
48327,1026,2021,5,33,565104
48329,1026,2021,486,10487,270993411
48331,1026,2021,43,452,7403767
48333,1026,2021,10,76,1297736
48335,1026,2021,19,168,2692668
48337,1026,2021,43,423,7181281
48339,1026,2021,1182,25869,608209741
48341,1026,2021,60,687,12412979
48343,1026,2021,20,151,2189261
48345,1026,2021,5,25,335680
48347,1026,2021,147,2955,50892498
48349,1026,2021,89,1467,25977564
48351,1026,2021,4,12,154132
48353,1026,2021,44,623,10509010
48355,1026,2021,1026,20559,452916176
48357,1026,2021,23,338,5869965
48359,1026,2021,9,30,586193
48361,1026,2021,173,2550,47479559
48363,1026,2021,96,1298,25112171
48365,1026,2021,34,433,7016236
48367,1026,2021,274,4379,86847615
48369,1026,2021,13,107,1804586
48371,1026,2021,63,701,14007356
48373,1026,2021,83,1311,23373027
48375,1026,2021,430,8419,172118133
48377,1026,2021,32,312,10485142
48379,1026,2021,26,245,4401859
48381,1026,2021,242,5168,99935192
48383,1026,2021,13,109,2023893
48385,1026,2021,18,185,3300286
48387,1026,2021,15,71,998627
48389,1026,2021,61,645,16824869
48391,1026,2021,24,257,4201632
48393,1026,2021,3,0,0
48395,1026,2021,34,485,8308806
48397,1026,2021,253,5563,122779359
48399,1026,2021,24,201,3078075
48401,1026,2021,76,879,16485033
48403,1026,2021,13,99,1549496
48405,1026,2021,13,82,1388362
48407,1026,2021,22,166,3038592
48409,1026,2021,177,2877,53369690
48411,1026,2021,16,134,1962299
48413,1026,2021,4,0,0
48415,1026,2021,49,576,9230893
48417,1026,2021,9,66,1041549
48419,1026,2021,43,520,8404798
48421,1026,2021,2,0,0
48423,1026,2021,542,10976,229819525
48425,1026,2021,40,485,10700694
48427,1026,2021,64,899,14896961
48429,1026,2021,21,232,4404510
48431,1026,2021,3,0,0
48433,1026,2021,6,30,308266
48435,1026,2021,16,200,6323715
48437,1026,2021,14,133,1824409
48439,1026,2021,4811,102844,2616923872
48441,1026,2021,387,7190,142420597
48443,1026,2021,6,52,910987
48445,1026,2021,27,323,4762569
48447,1026,2021,5,30,412474
48449,1026,2021,73,1287,22900558
48451,1026,2021,327,5991,113577590
48453,1026,2021,4203,81052,2595009659
48455,1026,2021,22,412,10569379
48457,1026,2021,28,342,5201147
48459,1026,2021,42,698,12435831
48461,1026,2021,6,20,297025
48463,1026,2021,79,1158,23945321
48465,1026,2021,109,1753,31893112
48467,1026,2021,110,1696,33069098
48469,1026,2021,242,4071,81920905
48471,1026,2021,128,2379,43157033
48473,1026,2021,70,1258,28357871
48475,1026,2021,40,435,9069686
48477,1026,2021,114,1421,28197312
48479,1026,2021,503,10436,191331564
48481,1026,2021,92,1294,22390850
48483,1026,2021,23,250,4231214
48485,1026,2021,354,6365,116350710
48487,1026,2021,37,407,7684368
48489,1026,2021,37,415,6362122
48491,1026,2021,1247,23698,584435292
48493,1026,2021,75,805,15835529
48495,1026,2021,20,187,3889139
48497,1026,2021,130,1873,35724431
48499,1026,2021,91,1155,22380813
48501,1026,2021,19,102,1654876
48503,1026,2021,49,631,10723631
48505,1026,2021,23,211,3094950
48507,1026,2021,16,163,2701673
48999,1026,2021,933,6393,367017828
49001,1026,2021,37,385,7546088
49003,1026,2021,104,1966,31817833
49005,1026,2021,259,5193,85687068
49007,1026,2021,58,860,12521030
49009,1026,2021,10,143,3111436
49011,1026,2021,644,14057,247112867
49013,1026,2021,50,566,8194462
49015,1026,2021,31,284,5421968
49017,1026,2021,79,1059,28860001
49019,1026,2021,150,2621,85812804
49021,1026,2021,178,2857,48962579
49023,1026,2021,32,343,4772113
49025,1026,2021,83,1327,44465209
49027,1026,2021,35,406,6425580
49029,1026,2021,17,167,3178147
49031,1026,2021,6,24,412601
49033,1026,2021,24,241,5179157
49035,1026,2021,3186,57932,1587399509
49037,1026,2021,52,624,15609483
49039,1026,2021,56,672,6709003
49041,1026,2021,63,916,15025962
49043,1026,2021,300,9816,364727183
49045,1026,2021,124,1947,33130522
49047,1026,2021,89,1420,23632057
49049,1026,2021,1299,25671,466930617
49051,1026,2021,93,1834,43687987
49053,1026,2021,567,11623,249743559
49055,1026,2021,39,350,10211335
49057,1026,2021,542,9999,186633298
50001,1026,2021,98,1048,29028744
50003,1026,2021,165,1897,57045377
50005,1026,2021,92,856,18581834
50007,1026,2021,608,8573,237301520
50009,1026,2021,16,92,1574544
50011,1026,2021,96,1116,26554251
50013,1026,2021,29,186,5007234
50015,1026,2021,145,2854,97537677
50017,1026,2021,56,478,12077222
50019,1026,2021,75,1211,29054944
50021,1026,2021,246,2991,75867001
50023,1026,2021,188,2710,73610520
50025,1026,2021,218,2293,63935290
50027,1026,2021,244,3335,102216734
50999,1026,2021,12,99,4104705
51001,1026,2021,117,1316,28389202
51003,1026,2021,278,4844,143544098
51005,1026,2021,32,369,6237582
51007,1026,2021,15,106,1891728
51009,1026,2021,49,624,12099875
51011,1026,2021,31,355,6711472
51013,1026,2021,772,14045,450916494
51015,1026,2021,116,1547,29882239
51017,1026,2021,18,488,16852746
51019,1026,2021,129,1807,38124092
51021,1026,2021,6,19,372486
51023,1026,2021,57,757,16985327
51025,1026,2021,12,122,2121251
51027,1026,2021,20,251,4473315
51029,1026,2021,11,113,2076510
51031,1026,2021,100,1407,24163871
51033,1026,2021,50,522,12464291
51035,1026,2021,46,729,13244124
51036,1026,2021,10,74,1800596
51037,1026,2021,12,97,1436376
51041,1026,2021,715,13622,277974135
51043,1026,2021,33,275,6660250
51045,1026,2021,5,34,551627
51047,1026,2021,98,1327,26884755
51049,1026,2021,8,43,607075
51051,1026,2021,11,0,0
51053,1026,2021,29,369,6841626
51057,1026,2021,31,384,6886482
51059,1026,2021,2727,44375,1448494985
51061,1026,2021,170,2299,53904887
51063,1026,2021,30,275,5331037
51065,1026,2021,27,298,6179052
51067,1026,2021,99,1337,26565931
51069,1026,2021,157,2392,55349465
51071,1026,2021,31,440,8646420
51073,1026,2021,87,1185,24823326
51075,1026,2021,57,1091,30092411
51077,1026,2021,15,107,1968603
51079,1026,2021,37,435,8457335
51081,1026,2021,19,261,4584579
51083,1026,2021,79,1106,20621127
51085,1026,2021,278,5207,115037932
51087,1026,2021,932,16180,368270225
51089,1026,2021,77,952,16799667
51091,1026,2021,0,0,0
51093,1026,2021,62,1118,20784721
51095,1026,2021,187,5234,133735543
51097,1026,2021,5,66,1235737
51099,1026,2021,49,541,10785285
51101,1026,2021,34,348,5707857
51103,1026,2021,42,601,16023368
51105,1026,2021,19,296,4604535
51107,1026,2021,973,18603,727480662
51109,1026,2021,48,734,16225885
51111,1026,2021,9,52,808606
51113,1026,2021,23,246,6372361
51115,1026,2021,18,201,3404237
51117,1026,2021,77,1092,18864163
51119,1026,2021,45,431,10895408
51121,1026,2021,248,4515,88963066
51125,1026,2021,31,540,15277620
51127,1026,2021,43,1205,35272676
51131,1026,2021,55,731,17813567
51133,1026,2021,24,273,5952202
51135,1026,2021,36,303,5731997
51137,1026,2021,63,774,17759481
51139,1026,2021,67,979,28647611
51141,1026,2021,22,426,12476954
51143,1026,2021,59,634,12035180
51145,1026,2021,56,895,18049836
51147,1026,2021,56,1037,18260021
51149,1026,2021,65,1521,36143100
51153,1026,2021,858,16295,407520011
51155,1026,2021,82,1140,20943977
51157,1026,2021,24,332,12683133
51159,1026,2021,17,155,3197326
51161,1026,2021,205,3348,68183900
51163,1026,2021,58,704,16729425
51165,1026,2021,111,2594,59009211
51167,1026,2021,37,505,8815302
51169,1026,2021,23,354,5357971
51171,1026,2021,102,1297,23998247
51173,1026,2021,51,699,12501978
51175,1026,2021,11,130,2079988
51177,1026,2021,229,4486,94450998
51179,1026,2021,240,3894,81268025
51181,1026,2021,9,72,1340911
51183,1026,2021,19,256,5091660
51185,1026,2021,72,1139,24891362
51187,1026,2021,97,1611,39330130
51191,1026,2021,121,1818,37848188
51193,1026,2021,39,333,8231814
51195,1026,2021,58,870,14647223
51197,1026,2021,80,1228,24143957
51199,1026,2021,199,3998,90344078
51510,1026,2021,455,7745,231413106
51520,1026,2021,72,1448,31188274
51530,1026,2021,14,128,2516981
51540,1026,2021,338,5450,142303599
51550,1026,2021,544,10210,203633176
51570,1026,2021,97,2145,41145045
51580,1026,2021,23,255,4564200
51590,1026,2021,158,2681,46551754
51595,1026,2021,26,545,10716429
51600,1026,2021,163,2654,67097823
51610,1026,2021,108,1288,33650581
51620,1026,2021,27,432,7374727
51630,1026,2021,207,3883,90412208
51640,1026,2021,40,419,8251778
51650,1026,2021,350,5741,113418383
51660,1026,2021,211,4530,90951790
51670,1026,2021,57,710,13239093
51678,1026,2021,53,522,12628907
51680,1026,2021,278,5741,107683926
51683,1026,2021,139,2098,49536789
51685,1026,2021,15,94,2636719
51690,1026,2021,49,687,11473812
51700,1026,2021,453,7653,163647624
51710,1026,2021,685,11431,256159149
51720,1026,2021,31,402,6516953
51730,1026,2021,91,950,18733454
51735,1026,2021,30,316,5774069
51740,1026,2021,187,2672,50759194
51750,1026,2021,39,556,10136469
51760,1026,2021,768,12929,353317919
51770,1026,2021,344,6360,133866462
51775,1026,2021,99,1724,36450547
51790,1026,2021,99,1355,27091722
51800,1026,2021,176,3333,65770221
51810,1026,2021,1454,27627,626113970
51820,1026,2021,78,1395,29191343
51830,1026,2021,133,3755,112801935
51840,1026,2021,155,2639,58508037
51999,1026,2021,958,43,3777117
53001,1026,2021,62,445,8686781
53003,1026,2021,56,789,16991680
53005,1026,2021,525,8619,210261589
53007,1026,2021,393,4814,125408192
53009,1026,2021,282,3349,94039399
53011,1026,2021,1010,14625,381416242
53013,1026,2021,21,176,2758285
53015,1026,2021,258,3180,72298966
53017,1026,2021,87,1272,33252920
53019,1026,2021,29,102,2220544
53021,1026,2021,173,2354,60038283
53023,1026,2021,2,0,0
53025,1026,2021,241,2658,59439788
53027,1026,2021,287,2763,65999007
53029,1026,2021,224,2467,64167898
53031,1026,2021,130,932,20975424
53033,1026,2021,7662,106670,4136418333
53035,1026,2021,666,9869,266670908
53037,1026,2021,179,2364,60297466
53039,1026,2021,67,359,8285276
53041,1026,2021,246,2497,56310903
53043,1026,2021,24,152,4027201
53045,1026,2021,122,1282,32872806
53047,1026,2021,163,1256,28762714
53049,1026,2021,126,942,20317059
